postal_code,latitude,longitude
8190379,33.5782537,130.2548289
8300038,33.3084266,130.5164073
8320045,33.1594175,130.4050636
8330002,33.2160636,130.5115538
8400805,33.2646623,130.2915493
8490401,33.1822124,130.1898709
8494282,33.2838256,129.8373605
8560024,32.9287116,129.9626075
8600068,32.7836393,130.6684806
8620969,32.7592756,130.7278593
8700116,33.2143007,131.6904006
8700147,33.2351812,131.667864
8700263,33.2511098,131.7193995
8700854,33.2063423,131.6056445
8730231,33.4703327,131.7306026
8910105,31.5446577,130.5027985
9000004,26.2330513,127.6982828
9000021,26.2100108,127.679666
9010223,26.1601778,127.6704399
9042244,26.3506218,127.8279741
9200853,36.5763943,136.651404
9218815,36.5324806,136.6101191
9218824,36.5040848,136.6084556
9280215,37.4232558,137.0901649
9330042,36.744667,137.0279141
9340013,36.7799,137.088518
9608153,37.7276753,140.4649928
9608254,37.7836972,140.4344281
9800011,38.2722939,140.8746178
9800021,38.2604462,140.8783838
9800871,38.26955,140.847827
9811294,38.1637025,140.8953134
9813135,38.3141289,140.8838106
9813632,38.4376891,140.8808643
9830014,38.2710256,140.9714882
9830045,38.2582624,140.9005806
9830852,38.2591306,140.8878288
9830864,38.2625268,140.8839433
9840036,38.2393278,140.9377665
9840042,38.2485349,140.9172324
9840048,38.2507686,140.9084261
9850873,38.2929291,141.0065435
9860861,38.4469886,141.2853512
9872216,38.7339675,141.0260988
9893201,38.2905127,140.8269094
9970034,38.7267223,139.828669
9970839,38.7338449,139.803758
